RUST-A2-1	Implement rust/TASKS.md Subtask A.2.1: define alpha, beta, and ga milestones with concrete gates. Update rust/TASKS.md and linked docs. Run cargo fmt --all, cargo clippy --workspace --all-targets -- -D warnings, cargo test --workspace.
RUST-A2-2	Implement rust/TASKS.md Subtask A.2.2: gate each milestone on explicit suite subsets from rust/tests/TASKS.md. Add/adjust CI docs or workflow mappings. Run cargo fmt --all, cargo clippy --workspace --all-targets -- -D warnings, cargo test --workspace.
RUST-A2-3	Implement rust/TASKS.md Subtask A.2.3: gate GA milestone on rust/proofs/verus/TASKS.md completion and proof checks. Update docs and CI references minimally. Run cargo fmt --all, cargo clippy --workspace --all-targets -- -D warnings, cargo test --workspace.
RUST-C1-2	Implement rust/TASKS.md Subtask C.1.2: complete runtime scheduler behavior in rust/crates/symphony-runtime with deterministic retry/dispatch semantics per SPEC. Add tests. Run cargo fmt --all, cargo clippy --workspace --all-targets -- -D warnings, cargo test --workspace.
RUST-D1-1	Implement rust/TASKS.md Subtask D.1.1: expand SPEC 17/18 conformance matrix in rust/tests/conformance with strict assertions and reusable fixtures. Run cargo fmt --all, cargo clippy --workspace --all-targets -- -D warnings, cargo test --workspace.
RUST-D2-1	Implement rust/TASKS.md Subtask D.2.1: implement race/interleaving harness in rust/tests/interleavings with deterministic scheduling controls and assertions. Run cargo fmt --all, cargo clippy --workspace --all-targets -- -D warnings, cargo test --workspace.
RUST-D3-1	Implement rust/TASKS.md Subtask D.3.1: implement long-running soak profiles in rust/tests/soak with bounded runtime flags and stability metrics. Run cargo fmt --all, cargo clippy --workspace --all-targets -- -D warnings, cargo test --workspace.
RUST-E1-1	Implement rust/TASKS.md Subtask E.1.1: strengthen Verus proofs for core invariants under rust/proofs/verus and integrate proof script/docs updates. Keep changes compile-safe for non-proof builds. Run cargo fmt --all, cargo clippy --workspace --all-targets -- -D warnings, cargo test --workspace.
RUST-F1-2	Implement rust/TASKS.md Subtask F.1.2: add CI jobs for conformance/interleaving/soak suites in .github/workflows with clear fail-fast strategy. Run cargo fmt --all, cargo clippy --workspace --all-targets -- -D warnings, cargo test --workspace.
RUST-F1-3	Implement rust/TASKS.md Subtask F.1.3: add/complete Verus proof CI job and ensure proof script wiring under rust/proofs/verus/scripts. Run cargo fmt --all, cargo clippy --workspace --all-targets -- -D warnings, cargo test --workspace.
RUST-F2-1	Implement rust/TASKS.md Subtask F.2.1: define runbook and failure playbooks in rust/docs with operationally actionable steps and references to observability signals. Run cargo fmt --all, cargo clippy --workspace --all-targets -- -D warnings, cargo test --workspace.
RUST-F2-2	Implement rust/TASKS.md Subtask F.2.2: define cutover checklist and rollback criteria in rust/docs with measurable gates and stop conditions. Run cargo fmt --all, cargo clippy --workspace --all-targets -- -D warnings, cargo test --workspace.
